epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2506.87,0.53226,0.323,0.94774,0.98338,1,0.995,0.90235,0.53602,0.29349,1.00878,0.0005743,0.0005743,0.0005743
45,2564.27,0.54611,0.32678,0.9822,0.91419,0.99419,0.995,0.89696,0.52379,0.3644,0.99481,0.0005644,0.0005644,0.0005644
46,2621.53,0.55218,0.32422,0.96779,0.97659,1,0.995,0.88891,0.53856,0.28039,1.00289,0.0005545,0.0005545,0.0005545
47,2677.79,0.5202,0.31148,0.9617,0.99366,1,0.995,0.90133,0.51624,0.23872,0.99666,0.0005446,0.0005446,0.0005446
48,2734.1,0.524,0.30662,0.9539,0.99175,1,0.995,0.894,0.50225,0.25864,0.98142,0.0005347,0.0005347,0.0005347
49,2789.97,0.53267,0.30548,0.96781,0.99535,1,0.995,0.91799,0.46972,0.25033,0.96524,0.0005248,0.0005248,0.0005248
50,2846.03,0.49208,0.29117,0.94053,0.99518,1,0.995,0.90028,0.50501,0.2557,0.97495,0.0005149,0.0005149,0.0005149
51,2901.83,0.48437,0.28206,0.94605,0.99515,1,0.995,0.90522,0.49573,0.25213,0.98213,0.000505,0.000505,0.000505
52,2960.19,0.49128,0.28944,0.93473,0.99468,1,0.995,0.89942,0.51017,0.23462,0.98348,0.0004951,0.0004951,0.0004951
53,3021.24,0.5246,0.30498,0.9654,0.99546,1,0.995,0.9118,0.50083,0.23567,0.97389,0.0004852,0.0004852,0.0004852
54,3080.03,0.51718,0.29317,0.94706,0.99664,1,0.995,0.91288,0.46615,0.23287,0.96612,0.0004753,0.0004753,0.0004753
55,3145.33,0.51512,0.29785,0.94968,0.99637,1,0.995,0.91113,0.47848,0.24748,0.96409,0.0004654,0.0004654,0.0004654
56,3202.63,0.50512,0.29571,0.957,0.99607,1,0.995,0.91717,0.48453,0.23427,0.96572,0.0004555,0.0004555,0.0004555
57,3260,0.48733,0.29101,0.94129,0.99559,1,0.995,0.90523,0.49379,0.23258,0.97122,0.0004456,0.0004456,0.0004456
58,3318.51,0.49371,0.28864,0.94726,0.99668,1,0.995,0.90299,0.5145,0.24878,0.98437,0.0004357,0.0004357,0.0004357
59,3378.32,0.48374,0.28383,0.9388,0.99406,1,0.995,0.91105,0.50343,0.25531,0.97967,0.0004258,0.0004258,0.0004258
60,3437.48,0.49302,0.28147,0.94753,0.9933,1,0.995,0.91193,0.48304,0.23586,0.96856,0.0004159,0.0004159,0.0004159
61,3496.99,0.49452,0.2885,0.95451,0.99736,1,0.995,0.9073,0.49649,0.24156,0.97451,0.000406,0.000406,0.000406
62,3555,0.48946,0.28635,0.94251,0.99557,1,0.995,0.90904,0.48859,0.23795,0.9652,0.0003961,0.0003961,0.0003961
63,3614.17,0.49419,0.2842,0.93629,0.99591,1,0.995,0.89882,0.48837,0.22495,0.96136,0.0003862,0.0003862,0.0003862
64,3691.17,0.48236,0.28452,0.94796,0.99539,1,0.995,0.91225,0.48697,0.22479,0.96405,0.0003763,0.0003763,0.0003763
65,3749.88,0.48675,0.2745,0.94556,0.9961,1,0.995,0.90473,0.50618,0.22439,0.96833,0.0003664,0.0003664,0.0003664
66,3807.96,0.4615,0.26868,0.92571,0.99585,1,0.995,0.91361,0.52321,0.22111,0.9959,0.0003565,0.0003565,0.0003565
67,3867.46,0.46978,0.27008,0.92745,0.99688,1,0.995,0.91555,0.51119,0.22582,0.98679,0.0003466,0.0003466,0.0003466
68,3930.11,0.48349,0.26425,0.94318,0.99729,1,0.995,0.90209,0.50682,0.23312,0.98181,0.0003367,0.0003367,0.0003367
69,3991.7,0.45769,0.2648,0.93252,0.99789,1,0.995,0.90681,0.49357,0.21581,0.97815,0.0003268,0.0003268,0.0003268
70,4050.94,0.48228,0.27601,0.93666,0.99712,1,0.995,0.90647,0.49608,0.22487,0.97032,0.0003169,0.0003169,0.0003169
71,4110.01,0.4585,0.25721,0.92829,0.99779,1,0.995,0.91335,0.49602,0.22467,0.97091,0.000307,0.000307,0.000307
72,4169.69,0.46285,0.26758,0.93032,0.99664,1,0.995,0.90354,0.49691,0.22068,0.97258,0.0002971,0.0002971,0.0002971
73,4229.02,0.47901,0.26511,0.93304,0.99918,1,0.995,0.91531,0.49777,0.21551,0.97148,0.0002872,0.0002872,0.0002872
74,4288.5,0.44226,0.24729,0.90728,0.99898,1,0.995,0.91673,0.46589,0.20536,0.95749,0.0002773,0.0002773,0.0002773
75,4347.62,0.46929,0.25364,0.93075,0.99873,1,0.995,0.91531,0.47713,0.20843,0.96002,0.0002674,0.0002674,0.0002674
76,4407.46,0.44858,0.24913,0.92183,0.99909,1,0.995,0.91431,0.46698,0.21689,0.95514,0.0002575,0.0002575,0.0002575
77,4467.55,0.45098,0.25393,0.90881,0.998,1,0.995,0.91567,0.46154,0.21296,0.95298,0.0002476,0.0002476,0.0002476
78,4527.55,0.44801,0.24566,0.91654,0.99767,1,0.995,0.91682,0.47418,0.21526,0.95964,0.0002377,0.0002377,0.0002377
79,4586.08,0.46042,0.25589,0.92471,0.99916,1,0.995,0.9113,0.48322,0.22035,0.96601,0.0002278,0.0002278,0.0002278
80,4644.96,0.45332,0.25379,0.91432,0.99906,1,0.995,0.9146,0.48532,0.21666,0.9689,0.0002179,0.0002179,0.0002179
81,4704.79,0.4112,0.24581,0.91855,0.99787,1,0.995,0.91114,0.48746,0.20768,0.96631,0.000208,0.000208,0.000208
82,4762.71,0.44362,0.25431,0.92172,0.99728,1,0.995,0.91674,0.47749,0.20545,0.96089,0.0001981,0.0001981,0.0001981
83,4822.46,0.4329,0.24521,0.92961,0.99765,1,0.995,0.92032,0.47193,0.20097,0.96313,0.0001882,0.0001882,0.0001882
84,4881.66,0.42787,0.23362,0.92895,0.99781,1,0.995,0.91656,0.47918,0.20129,0.97063,0.0001783,0.0001783,0.0001783
85,4940.95,0.41325,0.22874,0.90625,0.99778,1,0.995,0.91694,0.48878,0.19974,0.97212,0.0001684,0.0001684,0.0001684
86,6418.01,0.42522,0.24079,0.91229,0.99693,1,0.995,0.91024,0.49884,0.20242,0.97756,0.0001585,0.0001585,0.0001585
87,6477.95,0.41708,0.23219,0.90108,0.9988,1,0.995,0.91506,0.48315,0.20846,0.97287,0.0001486,0.0001486,0.0001486
88,6537.88,0.4365,0.24613,0.90973,0.99715,1,0.995,0.91792,0.47829,0.20697,0.96954,0.0001387,0.0001387,0.0001387
